[4/17/23 05:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Author	
[4/17/23 05:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Author	
[4/17/23 05:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Author	
[4/17/23 05:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Author	
[4/17/23 05:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Author	
[4/17/23 05:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Author	
[4/17/23 05:32PM] Player picked up item: Coin, id: 995, amount: 100, owner: Author	
[4/17/23 05:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Author	
[4/17/23 05:32PM] Player picked up item: Coin, id: 995, amount: 100, owner: Author	
[4/17/23 05:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Author	
[4/17/23 05:33PM] Player picked up item: Coin, id: 995, amount: 1626017, owner: Author	
[4/17/23 05:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Author	
[4/17/23 05:33PM] Player picked up item: Coin, id: 995, amount: 3843487, owner: Author	
[4/17/23 05:33PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Author	
[4/17/23 05:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Author	
[4/17/23 05:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Author	
[4/17/23 05:36PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Author	
[4/17/23 05:55PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Author	
[4/17/23 05:58PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Author	
[4/17/23 06:03PM] Player picked up item: Coin, id: 995, amount: 2451730, owner: Author	
[4/17/23 06:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Author	
[4/18/23 10:16AM] Player picked up item: Coin, id: 995, amount: 800, owner: Author	
[4/18/23 10:17AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Author	
[4/18/23 10:17AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Author	
[4/18/23 10:17AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Author	
[4/18/23 10:42AM] Player picked up item: Coin, id: 995, amount: 4358805, owner: Author	
[4/18/23 10:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Author	
[4/18/23 10:42AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Author	
[4/18/23 10:42AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Author	
[4/18/23 10:55AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Author	
[4/18/23 10:59AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Author	
[4/18/23 11:42AM] Player picked up item: Coin, id: 995, amount: 1535930, owner: Author	
[4/18/23 11:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Author	
[4/18/23 11:42AM] Player picked up item: Coin, id: 995, amount: 3595657, owner: Author	
[4/18/23 11:42AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Author	
[4/18/23 12:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Author	
[4/18/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Author	
[4/18/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Author	
[4/18/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Author	
[4/18/23 12:29PM] Player picked up item: Tormented Boots, id: 21041, amount: 1, owner: Author	
[4/18/23 12:29PM] Player picked up item: Tormented Boots, id: 21041, amount: 1, owner: Author	
