[4/22/23 01:16PM] Player picked up item: Coin, id: 995, amount: 200, owner: Catdog	
[4/22/23 01:19PM] Player picked up item: Coin, id: 995, amount: 400, owner: Catdog	
[4/22/23 01:20PM] Player picked up item: Coin, id: 995, amount: 400, owner: Catdog	
[4/22/23 01:21PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Catdog	
[4/22/23 01:22PM] Player picked up item: Coin, id: 995, amount: 500, owner: Catdog	
[4/22/23 01:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Catdog	
[4/22/23 01:23PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Catdog	
[4/22/23 01:30PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Catdog	
[4/22/23 01:31PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Catdog	
[4/22/23 01:31PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Catdog	
[4/22/23 01:33PM] Player picked up item: Coin, id: 995, amount: 2011856, owner: Catdog	
[4/22/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Catdog	
[4/22/23 01:34PM] Player picked up item: Coin, id: 995, amount: 2998904, owner: Catdog	
[4/22/23 01:34PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Catdog	
[4/22/23 01:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Catdog	
[4/22/23 01:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Catdog	
[4/22/23 01:37PM] Player picked up item: Coin, id: 995, amount: 700, owner: Catdog	
[4/22/23 01:37PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Catdog	
[4/22/23 01:38PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Catdog	
[4/22/23 01:38PM] Player picked up item: Coin, id: 995, amount: 700, owner: Catdog	
[4/22/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Catdog	
[4/22/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Catdog	
[4/22/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Catdog	
