[4/19/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Cheezyps3	
[4/19/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Cheezyps3	
[4/19/23 12:16PM] Player picked up item: Vial, id: 229, amount: 1, owner: F E	
[4/19/23 12:16PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Zshana	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Cheezyps3	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Cheezyps3	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Cheezyps3	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:30PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:31PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 700, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 12:34PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Cheezyps3	
