[4/16/23 06:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Death	
[4/16/23 06:55PM] Player picked up item: Coin, id: 995, amount: 1835071, owner: Death	
[4/16/23 06:55PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Death	
[4/16/23 07:04PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Death	
[4/17/23 12:08PM] Player picked up item: Coin, id: 995, amount: 2358359, owner: Death	
[4/17/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Death	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Death	
[4/17/23 12:09PM] Player picked up item: Coin, id: 995, amount: 2071052, owner: Death	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Death	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Death	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Death	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Death	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Death	
[4/17/23 12:11PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Death	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Death	
[4/17/23 12:11PM] Player picked up item: Coin, id: 995, amount: 2443799, owner: Death	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 4020597, owner: Death	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 3167067, owner: Death	
[4/17/23 12:13PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Death	
[4/17/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Death	
[4/17/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Death	
[4/17/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Death	
[4/17/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Death	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Death	
[4/17/23 12:17PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Death	
[4/17/23 12:17PM] Player picked up item: Coin, id: 995, amount: 1840046, owner: Death	
[4/17/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Death	
[4/17/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Death	
[4/17/23 12:25PM] Player picked up item: Coin, id: 995, amount: 400, owner: Death	
[4/17/23 12:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Death	
[4/17/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1352, owner: Death	
[4/17/23 12:40PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Death	
[4/17/23 12:40PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Death	
[4/17/23 01:33PM] Player picked up item: Coin, id: 995, amount: 2585968, owner: Death	
[4/17/23 01:34PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Death	
[4/17/23 01:40PM] Player picked up item: Coin, id: 995, amount: 700, owner: Death	
[4/17/23 01:41PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Death	
[4/17/23 01:48PM] Player picked up item: Coin, id: 995, amount: 800, owner: Death	
[4/17/23 01:49PM] Player picked up item: Coin, id: 995, amount: 800, owner: Death	
[4/17/23 01:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Death	
[4/17/23 06:03PM] Player picked up item: Coin, id: 995, amount: 2314605, owner: Death	
[4/17/23 06:04PM] Player picked up item: Revenant Boots, id: 18009, amount: 1, owner: Death	
[4/17/23 06:09PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Death	
[4/17/23 06:10PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Death	
[4/17/23 06:18PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Death	
[4/17/23 06:21PM] Player picked up item: Lava bones, id: 2023, amount: 1085, owner: Death	
[4/17/23 06:35PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Death	
[4/17/23 06:38PM] Player picked up item: Aberrant Legs, id: 20594, amount: 1, owner: Death	
[4/17/23 06:45PM] Player picked up item: Aberrant Boots, id: 8334, amount: 1, owner: Death	
[4/17/23 06:47PM] Player picked up item: Aberrant Ring, id: 8335, amount: 1, owner: Death	
