[4/22/23 09:31AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Elviszo	
[4/22/23 03:41PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Elviszo	
[4/22/23 04:07PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Elviszo	
[4/23/23 12:43AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Elviszo	
[4/23/23 12:44AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Elviszo	
[4/23/23 12:51AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Elviszo	
[4/23/23 12:51AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Elviszo	
[4/23/23 01:02AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Elviszo	
[4/23/23 01:04AM] Player picked up item: Coin, id: 995, amount: 1408184, owner: Elviszo	
[4/23/23 01:04AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Elviszo	
[4/23/23 01:07AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Elviszo	
[4/23/23 01:10AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Elviszo	
[4/23/23 01:10AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Elviszo	
