[4/20/23 12:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatekill	
[4/20/23 12:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatekill	
[4/20/23 12:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatekill	
[4/20/23 12:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatekill	
[4/20/23 12:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatekill	
[4/20/23 12:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatekill	
[4/20/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatekill	
[4/20/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatekill	
[4/20/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatekill	
[4/20/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatekill	
[4/20/23 12:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatekill	
[4/20/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatekill	
[4/20/23 12:52PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Fatekill	
[4/20/23 12:52PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fatekill	
[4/20/23 12:53PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fatekill	
[4/20/23 12:53PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fatekill	
[4/20/23 12:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatekill	
[4/20/23 12:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatekill	
[4/20/23 12:54PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fatekill	
[4/20/23 12:54PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Fatekill	
[4/20/23 12:54PM] Player picked up item: Coin, id: 995, amount: 600, owner: Fatekill	
[4/20/23 12:54PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Fatekill	
[4/20/23 12:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatekill	
[4/20/23 12:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatekill	
[4/20/23 12:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatekill	
[4/20/23 12:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatekill	
[4/20/23 12:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fatekill	
[4/20/23 12:55PM] Player picked up item: Coin, id: 995, amount: 600, owner: Fatekill	
[4/20/23 12:55PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Fatekill	
[4/20/23 12:55PM] Player picked up item: Coin, id: 995, amount: 800, owner: Fatekill	
[4/20/23 12:56PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Fatekill	
[4/21/23 12:04PM] Player picked up item: Coin, id: 995, amount: 1373339, owner: Fatekill	
[4/21/23 12:04PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fatekill	
[4/21/23 12:06PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Fatekill	
[4/21/23 12:07PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Fatekill	
[4/21/23 12:09PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Fatekill	
[4/21/23 12:09PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Fatekill	
[4/21/23 12:14PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Fatekill	
[4/21/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Fatekill	
[4/21/23 03:53PM] Player picked up item: Coin, id: 995, amount: 500, owner: Fatekill	
