[4/20/23 12:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:29AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:29AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:29AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Fatmanfred	
[4/20/23 12:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:29AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:29AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fatmanfred	
[4/20/23 12:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:30AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:33AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:33AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:33AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:34AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
[4/20/23 12:34AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fatmanfred	
[4/20/23 12:34AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fatmanfred	
