[4/23/23 07:05AM] Player picked up item: Coin, id: 995, amount: 1716653, owner: Fiddle Stix	
[4/23/23 07:05AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fiddle Stix	
[4/23/23 07:05AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Fiddle Stix	
[4/23/23 07:05AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Fiddle Stix	
[4/23/23 07:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fiddle Stix	
[4/23/23 07:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:10AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Fiddle Stix	
[4/23/23 07:11AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:11AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:12AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:12AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:13AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:17AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:18AM] Player picked up item: Coin, id: 995, amount: 200, owner: Fiddle Stix	
[4/23/23 07:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fiddle Stix	
[4/23/23 07:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fiddle Stix	
[4/23/23 07:19AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Fiddle Stix	
[4/23/23 07:19AM] Player picked up item: Coin, id: 995, amount: 300, owner: Fiddle Stix	
[4/23/23 07:19AM] Player picked up item: Coin, id: 995, amount: 300, owner: Fiddle Stix	
[4/23/23 07:19AM] Player picked up item: Coin, id: 995, amount: 300, owner: Fiddle Stix	
[4/23/23 07:19AM] Player picked up item: Coin, id: 995, amount: 300, owner: Fiddle Stix	
[4/23/23 07:19AM] Player picked up item: Coin, id: 995, amount: 300, owner: Fiddle Stix	
[4/23/23 07:19AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Fiddle Stix	
[4/23/23 07:20AM] Player picked up item: Coin, id: 995, amount: 300, owner: Fiddle Stix	
[4/23/23 07:22AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Fiddle Stix	
[4/23/23 07:25AM] Player picked up item: Coin, id: 995, amount: 400, owner: Fiddle Stix	
[4/23/23 07:25AM] Player picked up item: Coin, id: 995, amount: 800, owner: Fiddle Stix	
[4/23/23 07:25AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fiddle Stix	
[4/23/23 07:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fiddle Stix	
[4/23/23 07:25AM] Player picked up item: Coin, id: 995, amount: 400, owner: Fiddle Stix	
[4/23/23 07:25AM] Player picked up item: Coin, id: 995, amount: 800, owner: Fiddle Stix	
[4/23/23 07:35AM] Player picked up item: Coin, id: 995, amount: 1427363, owner: Fiddle Stix	
[4/23/23 07:35AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fiddle Stix	
[4/23/23 07:40AM] Player picked up item: Coin, id: 995, amount: 600, owner: Fiddle Stix	
[4/23/23 07:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fiddle Stix	
[4/23/23 07:42AM] Player picked up item: Coin, id: 995, amount: 700, owner: Fiddle Stix	
[4/23/23 07:43AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Fiddle Stix	
[4/23/23 08:04AM] Player picked up item: Coin, id: 995, amount: 800, owner: Fiddle Stix	
[4/23/23 08:05AM] Player picked up item: Coin, id: 995, amount: 900, owner: Fiddle Stix	
[4/23/23 08:05AM] Player picked up item: Coin, id: 995, amount: 900, owner: Fiddle Stix	
[4/23/23 08:07AM] Player picked up item: Coin, id: 995, amount: 900, owner: Fiddle Stix	
[4/23/23 08:07AM] Player picked up item: Coin, id: 995, amount: 900, owner: Fiddle Stix	
[4/23/23 08:07AM] Player picked up item: Coin, id: 995, amount: 900, owner: Fiddle Stix	
[4/23/23 08:07AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Fiddle Stix	
[4/23/23 08:07AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Fiddle Stix	
[4/23/23 08:17AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Fiddle Stix	
[4/23/23 08:20AM] Player picked up item: Coin, id: 995, amount: 900, owner: Fiddle Stix	
[4/23/23 08:22AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Fiddle Stix	
[4/23/23 08:41AM] Player picked up item: Coin, id: 995, amount: 3600, owner: Fiddle Stix	
[4/23/23 08:44AM] Player picked up item: Revenant Helm, id: 17999, amount: 1, owner: Fiddle Stix	
[4/23/23 08:48AM] Player picked up item: Mystic gloves, id: 23024, amount: 1, owner: Fiddle Stix	
