[4/17/23 01:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: Goo	
[4/17/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Goo	
[4/17/23 02:02PM] Player picked up item: Coin, id: 995, amount: 1336153, owner: Goo	
[4/17/23 02:02PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Goo	
[4/17/23 02:07PM] Player picked up item: Coin, id: 995, amount: 300, owner: Goo	
[4/17/23 02:07PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Goo	
[4/17/23 02:08PM] Player picked up item: Coin, id: 995, amount: 300, owner: Goo	
[4/17/23 02:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Goo	
[4/17/23 02:08PM] Player picked up item: Coin, id: 995, amount: 300, owner: Goo	
[4/17/23 02:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Goo	
[4/17/23 02:09PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Goo	
[4/17/23 02:09PM] Player picked up item: Coin, id: 995, amount: 900, owner: Goo	
[4/17/23 02:09PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Goo	
[4/17/23 02:09PM] Player picked up item: Coin, id: 995, amount: 900, owner: Goo	
[4/17/23 02:10PM] Player picked up item: Coin, id: 995, amount: 600, owner: Goo	
[4/17/23 02:10PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Goo	
[4/17/23 02:10PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Goo	
[4/17/23 02:13PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Goo	
[4/17/23 02:13PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Goo	
[4/17/23 02:13PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Goo	
[4/17/23 02:13PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Goo	
[4/17/23 02:15PM] Player picked up item: Coin, id: 995, amount: 800, owner: Goo	
[4/17/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Goo	
[4/17/23 02:15PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Goo	
[4/17/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Goo	
[4/17/23 02:15PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Goo	
[4/17/23 02:15PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Goo	
[4/17/23 02:15PM] Player picked up item: Coin, id: 995, amount: 400, owner: Goo	
[4/17/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Goo	
[4/17/23 02:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Goo	
[4/17/23 02:17PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Goo	
[4/17/23 02:17PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Goo	
[4/17/23 02:17PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Goo	
[4/17/23 02:17PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Goo	
[4/17/23 02:25PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Goo	
[4/17/23 02:25PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Goo	
[4/17/23 02:25PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Goo	
[4/17/23 02:25PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Goo	
[4/17/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Goo	
[4/17/23 02:29PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Goo	
[4/17/23 02:29PM] Player picked up item: Coin, id: 995, amount: 500, owner: Goo	
[4/17/23 02:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Goo	
[4/17/23 02:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Goo	
[4/17/23 02:33PM] Player picked up item: Coin, id: 995, amount: 2750146, owner: Goo	
[4/17/23 02:33PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Goo	
[4/17/23 02:34PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Goo	
[4/17/23 02:34PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Goo	
[4/17/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Goo	
[4/17/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Goo	
[4/17/23 02:38PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Goo	
[4/17/23 02:38PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Goo	
[4/17/23 02:42PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Goo	
