[4/17/23 07:10AM] Player picked up item: Coin, id: 995, amount: 1776961, owner: H3ntai	
[4/17/23 07:10AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: H3ntai	
[4/17/23 07:40AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: H3ntai	
[4/17/23 07:41AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: H3ntai	
[4/17/23 07:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: H3ntai	
[4/17/23 07:41AM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: H3ntai	
[4/17/23 08:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: H3ntai	
[4/17/23 08:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: H3ntai	
[4/17/23 08:12AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: H3ntai	
[4/17/23 08:12AM] Player picked up item: Coin, id: 995, amount: 2458901, owner: H3ntai	
[4/17/23 08:41AM] Player picked up item: Coin, id: 995, amount: 1310982, owner: H3ntai	
[4/17/23 08:41AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: H3ntai	
[4/17/23 08:42AM] Player picked up item: Coin, id: 995, amount: 3041423, owner: H3ntai	
[4/17/23 08:42AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: H3ntai	
[4/17/23 09:12AM] Player picked up item: Coin, id: 995, amount: 1012558, owner: H3ntai	
[4/17/23 09:12AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: H3ntai	
[4/17/23 09:42AM] Player picked up item: Coin, id: 995, amount: 2056490, owner: H3ntai	
[4/17/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: H3ntai	
[4/17/23 09:44AM] Player picked up item: Coin, id: 995, amount: 3819082, owner: H3ntai	
[4/17/23 09:44AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: H3ntai	
[4/17/23 09:45AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: H3ntai	
[4/17/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: H3ntai	
[4/17/23 09:46AM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: H3ntai	
[4/17/23 09:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: H3ntai	
[4/17/23 10:33AM] Player picked up item: Coin, id: 995, amount: 1957284, owner: H3ntai	
[4/17/23 10:33AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: H3ntai	
[4/17/23 10:34AM] Player picked up item: Coin, id: 995, amount: 2882466, owner: H3ntai	
[4/17/23 10:34AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: H3ntai	
[4/17/23 10:35AM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: H3ntai	
[4/17/23 10:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: H3ntai	
[4/17/23 11:03AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: H3ntai	
[4/17/23 11:04AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: H3ntai	
[4/17/23 11:04AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: H3ntai	
[4/17/23 11:05AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: H3ntai	
[4/17/23 11:06AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: H3ntai	
[4/17/23 11:06AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: H3ntai	
[4/17/23 11:10AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: H3ntai	
[4/17/23 11:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: H3ntai	
[4/17/23 11:33AM] Player picked up item: Coin, id: 995, amount: 2079821, owner: H3ntai	
[4/17/23 11:33AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: H3ntai	
[4/17/23 11:33AM] Player picked up item: Coin, id: 995, amount: 2209174, owner: H3ntai	
[4/17/23 11:33AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: H3ntai	
[4/17/23 11:53AM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: H3ntai	
[4/17/23 11:53AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: H3ntai	
[4/17/23 11:55AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: H3ntai	
[4/17/23 11:55AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: H3ntai	
[4/17/23 11:55AM] Player picked up item: Coin, id: 995, amount: 2076272, owner: H3ntai	
[4/17/23 11:55AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: H3ntai	
[4/17/23 11:56AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: H3ntai	
[4/17/23 11:56AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: H3ntai	
[4/17/23 11:56AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: H3ntai	
[4/17/23 11:57AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: H3ntai	
[4/17/23 11:57AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: H3ntai	
[4/17/23 12:03PM] Player picked up item: Coin, id: 995, amount: 2084149, owner: H3ntai	
[4/17/23 12:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: H3ntai	
[4/17/23 12:08PM] Player picked up item: Coin, id: 995, amount: 1842753, owner: H3ntai	
[4/17/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: H3ntai	
[4/17/23 12:09PM] Player picked up item: Coin, id: 995, amount: 2118416, owner: H3ntai	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: H3ntai	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: H3ntai	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: H3ntai	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: H3ntai	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: H3ntai	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: H3ntai	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: H3ntai	
[4/17/23 12:11PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: H3ntai	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: H3ntai	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: H3ntai	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 3930649, owner: H3ntai	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: H3ntai	
[4/17/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: H3ntai	
[4/17/23 12:13PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: H3ntai	
[4/17/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: H3ntai	
[4/17/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: H3ntai	
[4/17/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: H3ntai	
[4/17/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 1500, owner: Xtra25	
[4/17/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: H3ntai	
[4/17/23 12:15PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: H3ntai	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: H3ntai	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: H3ntai	
[4/17/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: H3ntai	
[4/17/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: H3ntai	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: H3ntai	
[4/17/23 12:17PM] Player picked up item: Coin, id: 995, amount: 2401753, owner: H3ntai	
[4/17/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: H3ntai	
[4/17/23 12:18PM] Player picked up item: Coin, id: 995, amount: 2325548, owner: H3ntai	
[4/17/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: H3ntai	
[4/17/23 05:46PM] Player picked up item: Sacred Scythe, id: 17664, amount: 1, owner: H3ntai	
