[4/16/23 07:04AM] Player picked up item: Starter Gloves, id: 19946, amount: 1, owner: Iron Heaven	
[4/16/23 07:13AM] Player picked up item: Coin, id: 995, amount: 600, owner: Iron Heaven	
[4/16/23 07:13AM] Player picked up item: Starter Staff, id: 22092, amount: 1, owner: Iron Heaven	
[4/16/23 07:14AM] Player picked up item: Coin, id: 995, amount: 600, owner: Iron Heaven	
[4/16/23 07:43AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Heaven	
[4/16/23 07:43AM] Player picked up item: Coin, id: 995, amount: 800, owner: Iron Heaven	
[4/16/23 07:43AM] Player picked up item: Coin, id: 995, amount: 800, owner: Iron Heaven	
[4/16/23 07:46AM] Player picked up item: Coin, id: 995, amount: 900, owner: Iron Heaven	
[4/16/23 07:46AM] Player picked up item: Coin, id: 995, amount: 3600, owner: Iron Heaven	
[4/16/23 08:03AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Iron Heaven	
[4/16/23 08:03AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Iron Heaven	
[4/16/23 08:06AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Iron Heaven	
[4/16/23 08:07AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Iron Heaven	
[4/16/23 08:11AM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Iron Heaven	
[4/16/23 08:15AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Heaven	
[4/16/23 08:16AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Iron Heaven	
[4/16/23 08:38AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Iron Heaven	
[4/16/23 08:40AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Heaven	
[4/16/23 08:40AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Heaven	
[4/16/23 08:42AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Iron Heaven	
[4/16/23 08:48AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Iron Heaven	
[4/16/23 08:49AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Iron Heaven	
[4/16/23 08:51AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Iron Heaven	
[4/16/23 08:53AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Iron Heaven	
[4/16/23 08:53AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Iron Heaven	
[4/16/23 08:53AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Iron Heaven	
[4/16/23 08:56AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Iron Heaven	
[4/16/23 09:01AM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Iron Heaven	
[4/16/23 09:03AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Heaven	
[4/16/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Heaven	
[4/16/23 09:05AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Iron Heaven	
[4/16/23 09:05AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Heaven	
[4/16/23 09:07AM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Iron Heaven	
[4/16/23 09:08AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Heaven	
[4/16/23 09:09AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Iron Heaven	
[4/16/23 09:09AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Iron Heaven	
[4/16/23 09:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Iron Heaven	
[4/16/23 09:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Iron Heaven	
[4/16/23 09:10AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Iron Heaven	
[4/16/23 09:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Iron Heaven	
[4/16/23 09:14AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Heaven	
[4/16/23 09:18AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Heaven	
[4/16/23 09:20AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Iron Heaven	
[4/16/23 09:20AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Iron Heaven	
[4/16/23 09:22AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Iron Heaven	
[4/16/23 09:24AM] Player picked up item: Coin, id: 995, amount: 2811433, owner: Iron Heaven	
[4/16/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Iron Heaven	
[4/16/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Heaven	
[4/16/23 09:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Heaven	
[4/16/23 09:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Heaven	
[4/16/23 09:25AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Iron Heaven	
[4/16/23 09:27AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Iron Heaven	
[4/16/23 09:29AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Iron Heaven	
[4/16/23 09:31AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Iron Heaven	
[4/16/23 09:36AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Iron Heaven	
[4/16/23 09:36AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Heaven	
[4/16/23 09:37AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Heaven	
[4/16/23 09:37AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Heaven	
[4/16/23 09:40AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Heaven	
[4/16/23 09:40AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Heaven	
[4/16/23 09:41AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Heaven	
[4/16/23 09:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Heaven	
[4/16/23 09:41AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Heaven	
[4/16/23 09:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Heaven	
[4/16/23 09:41AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Heaven	
[4/16/23 09:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Heaven	
[4/16/23 09:42AM] Player picked up item: Coin, id: 995, amount: 1087269, owner: Iron Heaven	
[4/16/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Heaven	
[4/16/23 09:42AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Heaven	
[4/16/23 09:43AM] Player picked up item: Coin, id: 995, amount: 1441721, owner: Iron Heaven	
[4/16/23 09:43AM] Player picked up item: Coin, id: 995, amount: 1628077, owner: Iron Heaven	
[4/16/23 09:44AM] Player picked up item: Coin, id: 995, amount: 3312651, owner: Iron Heaven	
[4/16/23 09:45AM] Player picked up item: Coin, id: 995, amount: 3004156, owner: Iron Heaven	
[4/16/23 09:45AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Iron Heaven	
[4/16/23 09:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Iron Heaven	
[4/16/23 09:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Iron Heaven	
