[4/19/23 10:42AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jesse	
[4/19/23 10:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:42AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jesse	
[4/19/23 10:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Jesse	
[4/19/23 10:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:46AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:46AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Jesse	
[4/19/23 10:47AM] Player picked up item: Coin, id: 995, amount: 300, owner: Jesse	
[4/19/23 10:47AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Jesse	
[4/19/23 10:47AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Jesse	
[4/19/23 10:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
[4/19/23 10:54AM] Player picked up item: Coin, id: 995, amount: 600, owner: Jesse	
[4/19/23 10:54AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Jesse	
[4/19/23 10:54AM] Player picked up item: Coin, id: 995, amount: 200, owner: Jesse	
[4/19/23 10:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jesse	
