[4/19/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lundragon	
[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lundragon	
[4/19/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lundragon	
[4/19/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lundragon	
[4/19/23 12:02PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Lundragon	
[4/19/23 12:03PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lundragon	
[4/19/23 12:03PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lundragon	
[4/19/23 12:03PM] Player picked up item: Coin, id: 995, amount: 600, owner: Lundragon	
[4/19/23 12:03PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Lundragon	
[4/19/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Lundragon	
[4/19/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Lundragon	
[4/19/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Lundragon	
[4/19/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Lundragon	
[4/19/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Lundragon	
[4/19/23 12:10PM] Player picked up item: Coin, id: 995, amount: 500, owner: Lundragon	
[4/19/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Lundragon	
[4/19/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Lundragon	
[4/19/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Lundragon	
[4/19/23 12:15PM] Player picked up item: Coin, id: 995, amount: 1698179, owner: Lundragon	
[4/19/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Lundragon	
[4/19/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Lundragon	
[4/19/23 12:15PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Lundragon	
[4/19/23 12:17PM] Player picked up item: Coin, id: 995, amount: 4012513, owner: Lundragon	
[4/19/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Lundragon	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Lundragon	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Lundragon	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Lundragon	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Lundragon	
[4/19/23 12:45PM] Player picked up item: Coin, id: 995, amount: 2340295, owner: Lundragon	
[4/19/23 12:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Lundragon	
[4/19/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Lundragon	
[4/19/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Lundragon	
