[4/22/23 09:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Medusa	
[4/22/23 09:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Medusa	
[4/22/23 09:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 09:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Medusa	
[4/22/23 09:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Medusa	
[4/22/23 09:45PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Medusa	
[4/22/23 09:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:46PM] Player picked up item: Coin, id: 995, amount: 100, owner: Medusa	
[4/22/23 09:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:47PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 09:47PM] Player picked up item: Coin, id: 995, amount: 100, owner: Medusa	
[4/22/23 09:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: Medusa	
[4/22/23 09:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:49PM] Player picked up item: Coin, id: 995, amount: 200, owner: Medusa	
[4/22/23 09:49PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 09:49PM] Player picked up item: Coin, id: 995, amount: 200, owner: Medusa	
[4/22/23 09:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:50PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Medusa	
[4/22/23 09:50PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Medusa	
[4/22/23 09:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:51PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 09:52PM] Player picked up item: Coin, id: 995, amount: 200, owner: Medusa	
[4/22/23 09:52PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 09:53PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Medusa	
[4/22/23 09:53PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Medusa	
[4/22/23 09:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Medusa	
[4/22/23 09:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Medusa	
[4/22/23 09:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Medusa	
[4/22/23 09:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 09:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Medusa	
[4/22/23 09:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 09:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 09:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Medusa	
