[4/22/23 07:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: New Wind	
[4/22/23 07:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: New Wind	
[4/22/23 07:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: New Wind	
[4/22/23 07:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: New Wind	
[4/22/23 07:36AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: New Wind	
[4/22/23 07:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: New Wind	
[4/22/23 07:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: New Wind	
[4/22/23 07:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: New Wind	
[4/22/23 07:37AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: New Wind	
[4/22/23 07:37AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: New Wind	
[4/22/23 07:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: New Wind	
[4/22/23 07:38AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: New Wind	
[4/22/23 07:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: New Wind	
[4/22/23 07:40AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: New Wind	
[4/22/23 07:55AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: New Wind	
[4/22/23 07:57AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: New Wind	
[4/22/23 08:04AM] Player picked up item: Coin, id: 995, amount: 1334886, owner: New Wind	
[4/22/23 08:04AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: New Wind	
[4/22/23 08:06AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: New Wind	
[4/22/23 08:10AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: New Wind	
[4/22/23 08:11AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: New Wind	
[4/22/23 08:13AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: New Wind	
[4/22/23 08:14AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: New Wind	
[4/22/23 08:20AM] Player picked up item: Coin, id: 995, amount: 1000, owner: New Wind	
[4/22/23 08:24AM] Player picked up item: Coin, id: 995, amount: 1500, owner: New Wind	
[4/22/23 08:25AM] Player picked up item: Mystic helm, id: 23021, amount: 1, owner: New Wind	
[4/22/23 08:25AM] Player picked up item: Mystic helm, id: 23021, amount: 1, owner: New Wind	
[4/22/23 08:26AM] Player picked up item: Coin, id: 995, amount: 1500, owner: New Wind	
[4/22/23 08:30AM] Player picked up item: Coin, id: 995, amount: 1500, owner: New Wind	
[4/22/23 08:30AM] Player picked up item: Coin, id: 995, amount: 1500, owner: New Wind	
[4/22/23 08:33AM] Player picked up item: Coin, id: 995, amount: 1772110, owner: New Wind	
[4/22/23 08:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: New Wind	
[4/22/23 08:34AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: New Wind	
[4/22/23 08:34AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: New Wind	
[4/22/23 08:34AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: New Wind	
[4/22/23 08:35AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: New Wind	
[4/22/23 08:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: New Wind	
[4/22/23 08:38AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: New Wind	
[4/22/23 08:38AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: New Wind	
[4/22/23 08:48AM] Player picked up item: Coin, id: 995, amount: 1500, owner: New Wind	
[4/22/23 08:52AM] Player picked up item: Coin, id: 995, amount: 4500, owner: New Wind	
[4/22/23 08:52AM] Player picked up item: Coin, id: 995, amount: 3000, owner: New Wind	
[4/22/23 08:57AM] Player picked up item: Coin, id: 995, amount: 1500, owner: New Wind	
[4/22/23 09:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: New Wind	
[4/22/23 09:03AM] Player picked up item: Coin, id: 995, amount: 2260954, owner: New Wind	
[4/22/23 09:03AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: New Wind	
[4/22/23 09:08AM] Player picked up item: Coin, id: 995, amount: 1500, owner: New Wind	
[4/22/23 09:08AM] Player picked up item: Coin, id: 995, amount: 1500, owner: New Wind	
