[4/16/23 07:54PM] Player picked up item: Coin, id: 995, amount: 1301620, owner: Okmante	
[4/16/23 07:54PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Okmante	
[4/16/23 08:15PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Okmante	
[4/16/23 08:19PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Okmante	
[4/16/23 08:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Okmante	
[4/16/23 08:24PM] Player picked up item: Coin, id: 995, amount: 1529098, owner: Okmante	
[4/16/23 08:25PM] Player picked up item: Coin, id: 995, amount: 2281587, owner: Okmante	
[4/16/23 08:25PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Okmante	
[4/16/23 08:26PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Okmante	
[4/16/23 08:26PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Okmante	
[4/16/23 08:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Okmante	
[4/16/23 08:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Okmante	
[4/16/23 08:39PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Okmante	
[4/16/23 09:55PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Okmante	
[4/16/23 09:56PM] Player picked up item: Patience legs, id: 23036, amount: 1, owner: Okmante	
[4/16/23 10:03PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Okmante	
[4/16/23 10:03PM] Player picked up item: Vial, id: 229, amount: 1, owner: Okmante	
[4/16/23 10:03PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Okmante	
[4/16/23 10:08PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Okmante	
[4/16/23 10:24PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Okmante	
[4/16/23 10:25PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Okmante	
[4/16/23 10:29PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Okmante	
[4/16/23 10:42PM] Player picked up item: Coin, id: 995, amount: 1764341, owner: Okmante	
[4/16/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Okmante	
[4/16/23 10:45PM] Player picked up item: Coin, id: 995, amount: 2930733, owner: Okmante	
[4/16/23 10:45PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Okmante	
[4/16/23 10:48PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Okmante	
[4/16/23 10:49PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Okmante	
[4/16/23 10:50PM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Okmante	
[4/16/23 10:51PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Okmante	
[4/16/23 10:59PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Okmante	
[4/16/23 11:14PM] Player picked up item: Coin, id: 995, amount: 1553240, owner: Okmante	
[4/16/23 11:14PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Okmante	
[4/16/23 11:23PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Okmante	
[4/16/23 11:23PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Okmante	
[4/16/23 11:32PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Okmante	
[4/16/23 11:36PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Okmante	
[4/16/23 11:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Okmante	
