[4/17/23 03:03PM] Player picked up item: Coin, id: 995, amount: 1447325, owner: One Piece	
[4/17/23 03:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: One Piece	
[4/17/23 03:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/17/23 03:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/17/23 03:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/17/23 03:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/17/23 03:11PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/17/23 03:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/17/23 03:13PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/17/23 03:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/18/23 09:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/18/23 09:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/18/23 09:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/18/23 09:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/18/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: One Piece	
[4/18/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: One Piece	
[4/18/23 09:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: One Piece	
[4/18/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: One Piece	
[4/18/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: One Piece	
[4/18/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:08PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: One Piece	
[4/18/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: One Piece	
[4/18/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
[4/18/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: One Piece	
[4/18/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: One Piece	
