[4/18/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Own3c3llg0d	
[4/18/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Own3c3llg0d	
[4/18/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Own3c3llg0d	
[4/18/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Own3c3llg0d	
[4/18/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Own3c3llg0d	
[4/18/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Own3c3llg0d	
[4/18/23 12:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Own3c3llg0d	
[4/18/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Own3c3llg0d	
[4/18/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Own3c3llg0d	
[4/18/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Own3c3llg0d	
[4/18/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Own3c3llg0d	
[4/18/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Own3c3llg0d	
[4/18/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Own3c3llg0d	
[4/18/23 12:44PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Own3c3llg0d	
[4/18/23 12:44PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Own3c3llg0d	
[4/18/23 12:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Own3c3llg0d	
[4/18/23 12:49PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Own3c3llg0d	
[4/18/23 12:51PM] Player picked up item: Coin, id: 995, amount: 400, owner: Own3c3llg0d	
[4/18/23 12:56PM] Player picked up item: Coin, id: 995, amount: 400, owner: Own3c3llg0d	
