[4/15/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Coin, id: 995, amount: 200, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Coin, id: 995, amount: 200, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Coin, id: 995, amount: 400, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Coin, id: 995, amount: 600, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Coin, id: 995, amount: 400, owner: Pimpin	
[4/15/23 09:06PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Pimpin	
[4/15/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pimpin	
[4/15/23 09:07PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Pimpin	
[4/15/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:07PM] Player picked up item: Coin, id: 995, amount: 300, owner: Pimpin	
[4/15/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:07PM] Player picked up item: Coin, id: 995, amount: 300, owner: Pimpin	
[4/15/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Coin, id: 995, amount: 900, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Coin, id: 995, amount: 300, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Coin, id: 995, amount: 300, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Coin, id: 995, amount: 300, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:08PM] Player picked up item: Coin, id: 995, amount: 300, owner: Pimpin	
[4/15/23 09:09PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Pimpin	
[4/15/23 09:12PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Pimpin	
[4/15/23 09:12PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Pimpin	
[4/15/23 09:12PM] Player picked up item: Coin, id: 995, amount: 800, owner: Pimpin	
[4/15/23 09:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pimpin	
[4/15/23 09:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:22PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Pimpin	
[4/15/23 09:23PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Pimpin	
[4/15/23 09:23PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Pimpin	
[4/15/23 09:25PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Pimpin	
[4/15/23 09:32PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Pimpin	
[4/15/23 09:32PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Pimpin	
[4/15/23 09:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/15/23 09:44PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Pimpin	
[4/15/23 09:44PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Pimpin	
[4/15/23 09:59PM] Player picked up item: Coin, id: 995, amount: 700, owner: Pimpin	
[4/16/23 06:28AM] Player picked up item: Coin, id: 995, amount: 1394239, owner: Pimpin	
[4/16/23 06:28AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Pimpin	
[4/16/23 06:29AM] Player picked up item: Coin, id: 995, amount: 2287741, owner: Pimpin	
[4/16/23 06:29AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Pimpin	
[4/16/23 06:30AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Pimpin	
[4/16/23 06:30AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Pimpin	
[4/16/23 06:39AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Pimpin	
[4/16/23 06:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pimpin	
[4/16/23 06:46AM] Player picked up item: Coin, id: 995, amount: 800, owner: Pimpin	
[4/16/23 06:50AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Pimpin	
