[4/21/23 06:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Princespeach	
[4/21/23 06:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Princespeach	
[4/21/23 06:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Princespeach	
[4/21/23 06:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Princespeach	
[4/21/23 06:59AM] Player picked up item: Coin, id: 995, amount: 100, owner: Princespeach	
[4/21/23 06:59AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Princespeach	
[4/21/23 07:00AM] Player picked up item: Coin, id: 995, amount: 100, owner: Princespeach	
[4/21/23 07:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Princespeach	
[4/21/23 07:00AM] Player picked up item: Coin, id: 995, amount: 100, owner: Princespeach	
[4/21/23 07:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Princespeach	
[4/21/23 07:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Princespeach	
[4/21/23 07:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Princespeach	
[4/21/23 07:01AM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Princespeach	
[4/21/23 07:06AM] Player picked up item: Coin, id: 995, amount: 300, owner: Princespeach	
[4/21/23 07:09AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Princespeach	
[4/21/23 07:09AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Princespeach	
[4/21/23 07:10AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Princespeach	
[4/21/23 07:10AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Princespeach	
[4/21/23 07:16AM] Player picked up item: Coin, id: 995, amount: 9000, owner: Princespeach	
[4/21/23 07:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Princespeach	
[4/21/23 07:18AM] Player picked up item: Coin, id: 995, amount: 18000, owner: Princespeach	
[4/21/23 07:18AM] Player picked up item: Coin, id: 995, amount: 18000, owner: Princespeach	
[4/21/23 07:19AM] Player picked up item: Coin, id: 995, amount: 36000, owner: Princespeach	
[4/21/23 07:20AM] Player picked up item: Coin, id: 995, amount: 36000, owner: Princespeach	
[4/21/23 07:20AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Princespeach	
[4/21/23 07:21AM] Player picked up item: Coin, id: 995, amount: 45000, owner: Princespeach	
[4/21/23 07:21AM] Player picked up item: Coin, id: 995, amount: 18000, owner: Princespeach	
[4/21/23 07:21AM] Player picked up item: Coin, id: 995, amount: 36000, owner: Princespeach	
[4/21/23 07:21AM] Player picked up item: Coin, id: 995, amount: 63000, owner: Princespeach	
[4/21/23 07:21AM] Player picked up item: Coin, id: 995, amount: 63000, owner: Princespeach	
[4/21/23 07:22AM] Player picked up item: Coin, id: 995, amount: 9000, owner: Princespeach	
[4/21/23 08:02AM] Player picked up item: Coin, id: 995, amount: 13000, owner: Princespeach	
[4/21/23 08:04AM] Player picked up item: Coin, id: 995, amount: 1046843, owner: Princespeach	
[4/21/23 08:04AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Princespeach	
[4/21/23 08:05AM] Player picked up item: Coin, id: 995, amount: 13000, owner: Princespeach	
[4/21/23 08:05AM] Player picked up item: Coin, id: 995, amount: 13000, owner: Princespeach	
[4/21/23 08:05AM] Player picked up item: Coin, id: 995, amount: 13000, owner: Princespeach	
[4/21/23 08:05AM] Player picked up item: Coin, id: 995, amount: 13000, owner: Princespeach	
