[4/19/23 04:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rebel	
[4/19/23 04:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rebel	
[4/19/23 04:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rebel	
[4/19/23 04:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rebel	
[4/19/23 04:45PM] Player picked up item: Coin, id: 995, amount: 2103758, owner: Rebel	
[4/19/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rebel	
[4/19/23 04:47PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Rebel	
[4/19/23 04:47PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Rebel	
[4/19/23 04:47PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Rebel	
[4/19/23 04:47PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Rebel	
[4/19/23 04:49PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Rebel	
[4/19/23 04:49PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Rebel	
[4/25/23 04:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rebel	
[4/25/23 04:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rebel	
[4/25/23 04:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rebel	
[4/25/23 04:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rebel	
[4/25/23 04:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rebel	
[4/25/23 04:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rebel	
[4/25/23 04:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rebel	
[4/25/23 04:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rebel	
[4/25/23 04:58PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Rebel	
[4/25/23 04:59PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Rebel	
[4/25/23 05:01PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Rebel	
[4/25/23 05:08PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Rebel	
[4/25/23 05:08PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Rebel	
[4/25/23 05:10PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Rebel	
[4/25/23 05:10PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Rebel	
[4/25/23 05:11PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Rebel	
[4/25/23 05:11PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Rebel	
[4/25/23 05:11PM] Player picked up item: Coin, id: 995, amount: 400, owner: Rebel	
[4/25/23 05:12PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Rebel	
[4/25/23 05:12PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Rebel	
[4/25/23 05:12PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Rebel	
[4/25/23 05:13PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Rebel	
[4/25/23 05:13PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Rebel	
[4/25/23 05:14PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Rebel	
[4/25/23 05:14PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Rebel	
[4/25/23 05:14PM] Player picked up item: Coin, id: 995, amount: 500, owner: Rebel	
[4/25/23 05:14PM] Player picked up item: Coin, id: 995, amount: 500, owner: Rebel	
[4/25/23 05:15PM] Player picked up item: Coin, id: 995, amount: 500, owner: Rebel	
[4/25/23 05:15PM] Player picked up item: Coin, id: 995, amount: 500, owner: Rebel	
[4/25/23 05:15PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Rebel	
