[4/15/23 12:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ronnie V2	
[4/15/23 12:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:18AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ronnie V2	
[4/15/23 12:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:18AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ronnie V2	
[4/15/23 12:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:19AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ronnie V2	
[4/15/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:19AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ronnie V2	
[4/15/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:19AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ronnie V2	
[4/15/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:19AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ronnie V2	
[4/15/23 12:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ronnie V2	
[4/15/23 12:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ronnie V2	
[4/15/23 12:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ronnie V2	
