[4/20/23 07:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Shit	
[4/20/23 07:35AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Shit	
[4/20/23 07:44AM] Player picked up item: Progressive Box [T1], id: 10025, amount: 1, owner: Entropy Afk	
[4/20/23 07:44AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Entropy Afk	
[4/20/23 07:44AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Entropy Afk	
[4/20/23 07:52AM] Player picked up item: Coin, id: 995, amount: 2398401, owner: Shit	
[4/20/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 08:21AM] Player picked up item: Coin, id: 995, amount: 1085683, owner: Shit	
[4/20/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 08:51AM] Player picked up item: Coin, id: 995, amount: 2017369, owner: Shit	
[4/20/23 08:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 09:27AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Shit	
[4/20/23 09:27AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Shit	
[4/20/23 10:20AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Shit	
[4/20/23 10:20AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Shit	
[4/20/23 10:22AM] Player picked up item: Coin, id: 995, amount: 1858993, owner: Shit	
[4/20/23 10:22AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 10:23AM] Player picked up item: Coin, id: 995, amount: 2581845, owner: Shit	
[4/20/23 10:23AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Shit	
[4/20/23 10:25AM] Player picked up item: Coin, id: 995, amount: 1404243, owner: Shit	
[4/20/23 10:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 10:27AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Shit	
[4/20/23 10:27AM] Player picked up item: Coin, id: 995, amount: 6464566, owner: Shit	
[4/20/23 10:27AM] Player picked up item: Coin, id: 995, amount: 1942477, owner: Shit	
[4/20/23 10:27AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 10:29AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Shit	
[4/20/23 10:29AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Shit	
[4/20/23 10:30AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Shit	
[4/20/23 10:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Shit	
[4/20/23 10:31AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Shit	
[4/20/23 10:31AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Shit	
[4/20/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Shit	
[4/20/23 10:32AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Shit	
[4/20/23 10:36AM] Player picked up item: Coin, id: 995, amount: 1117548, owner: Shit	
[4/20/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 10:38AM] Player picked up item: Coin, id: 995, amount: 1779377, owner: Shit	
[4/20/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 10:40AM] Player picked up item: Coin, id: 995, amount: 2205670, owner: Shit	
[4/20/23 10:40AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Shit	
[4/20/23 10:41AM] Player picked up item: Coin, id: 995, amount: 2396731, owner: Shit	
[4/20/23 10:41AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Shit	
[4/20/23 10:43AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Shit	
[4/20/23 10:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Shit	
[4/20/23 10:45AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Shit	
[4/20/23 10:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Shit	
[4/20/23 10:48AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Shit	
[4/20/23 10:48AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Shit	
[4/20/23 10:51AM] Player picked up item: Coin, id: 995, amount: 1630925, owner: Shit	
[4/20/23 10:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 10:55AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Shit	
[4/20/23 10:55AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Shit	
[4/20/23 11:21AM] Player picked up item: Coin, id: 995, amount: 1683192, owner: Shit	
[4/20/23 11:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 11:22AM] Player picked up item: Coin, id: 995, amount: 3883420, owner: Shit	
[4/20/23 11:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Shit	
[4/20/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Shit	
[4/20/23 11:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Shit	
[4/20/23 11:34PM] Player picked up item: Coin, id: 995, amount: 1705292, owner: Shit	
[4/20/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shit	
[4/20/23 11:35PM] Player picked up item: Coin, id: 995, amount: 4217627, owner: Shit	
