[4/16/23 05:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Stiffyman	
[4/16/23 05:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 05:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Stiffyman	
[4/16/23 05:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 05:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: Stiffyman	
[4/16/23 05:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 05:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 05:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 05:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Stiffyman	
[4/16/23 05:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 05:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Stiffyman	
[4/16/23 06:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 06:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 06:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Stiffyman	
[4/16/23 06:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Stiffyman	
[4/16/23 06:20AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Stiffyman	
[4/16/23 06:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 06:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Stiffyman	
[4/16/23 06:21AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Stiffyman	
[4/16/23 06:28AM] Player picked up item: Coin, id: 995, amount: 1534108, owner: Stiffyman	
[4/16/23 06:28AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Stiffyman	
[4/16/23 06:29AM] Player picked up item: Coin, id: 995, amount: 2118069, owner: Stiffyman	
[4/16/23 06:29AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Stiffyman	
[4/16/23 06:30AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Stiffyman	
[4/16/23 06:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Stiffyman	
[4/16/23 06:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Stiffyman	
[4/16/23 06:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Stiffyman	
[4/16/23 06:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Stiffyman	
[4/16/23 06:31AM] Player picked up item: Coin, id: 995, amount: 200, owner: Stiffyman	
[4/16/23 06:33AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Stiffyman	
[4/16/23 06:33AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Stiffyman	
[4/16/23 06:37AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Stiffyman	
[4/16/23 06:38AM] Player picked up item: Coin, id: 995, amount: 300, owner: Stiffyman	
[4/16/23 06:38AM] Player picked up item: Coin, id: 995, amount: 300, owner: Stiffyman	
[4/16/23 06:45AM] Player picked up item: Coin, id: 995, amount: 400, owner: Stiffyman	
[4/16/23 06:45AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Stiffyman	
[4/16/23 06:45AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Stiffyman	
[4/16/23 06:45AM] Player picked up item: Coin, id: 995, amount: 400, owner: Stiffyman	
