[4/19/23 05:47PM] Player picked up item: Rune platebody (h2), id: 19486, amount: 1, owner: Ao	
[4/19/23 05:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sumnimrod	
[4/19/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sumnimrod	
[4/19/23 05:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sumnimrod	
[4/19/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:49PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sumnimrod	
[4/19/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Sumnimrod	
[4/19/23 05:50PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sumnimrod	
[4/19/23 05:50PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Sumnimrod	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 400, owner: Sumnimrod	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Sumnimrod	
[4/19/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:51PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:52PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:53PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sumnimrod	
[4/19/23 05:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sumnimrod	
[4/19/23 05:59PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sumnimrod	
[4/19/23 05:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
[4/19/23 05:59PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sumnimrod	
[4/19/23 05:59PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Sumnimrod	
[4/19/23 05:59PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sumnimrod	
[4/19/23 05:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sumnimrod	
