[4/17/23 12:56AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Timp	
[4/17/23 12:57AM] Player picked up item: Coin, id: 995, amount: 200, owner: Timp	
[4/17/23 12:58AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Timp	
[4/21/23 03:13PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Timp	
[4/21/23 03:22PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Timp	
[4/21/23 03:23PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Timp	
[4/21/23 03:23PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Timp	
[4/21/23 03:24PM] Player picked up item: Coin, id: 995, amount: 700, owner: Timp	
[4/21/23 03:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Timp	
[4/21/23 03:33PM] Player picked up item: Coin, id: 995, amount: 2399614, owner: Timp	
[4/21/23 03:38PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Timp	
[4/21/23 03:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Timp	
[4/21/23 03:43PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Timp	
[4/21/23 03:56PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Timp	
[4/21/23 03:59PM] Player picked up item: Coin, id: 995, amount: 800, owner: Timp	
[4/21/23 04:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Timp	
[4/21/23 04:04PM] Player picked up item: Coin, id: 995, amount: 1710643, owner: Timp	
[4/21/23 04:04PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Timp	
[4/21/23 04:08PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Timp	
[4/21/23 04:12PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Timp	
[4/21/23 04:18PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Timp	
[4/21/23 04:18PM] Player picked up item: Patience legs, id: 23036, amount: 1, owner: Timp	
[4/21/23 04:24PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Timp	
[4/21/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Timp	
[4/21/23 04:25PM] Player picked up item: Coin, id: 995, amount: 7500, owner: Timp	
[4/21/23 04:30PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Timp	
[4/21/23 04:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Timp	
[4/21/23 04:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Timp	
[4/21/23 04:32PM] Player picked up item: Patience body, id: 23035, amount: 1, owner: Timp	
[4/21/23 04:32PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Timp	
[4/21/23 04:34PM] Player picked up item: Coin, id: 995, amount: 2336451, owner: Timp	
