[4/19/23 01:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Xcrystalx	
[4/19/23 01:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Xcrystalx	
[4/19/23 01:21PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Xcrystalx	
[4/19/23 01:21PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Xcrystalx	
[4/19/23 01:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Xcrystalx	
[4/19/23 01:23PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Xcrystalx	
[4/19/23 01:26PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Xcrystalx	
[4/19/23 01:26PM] Player picked up item: Coin, id: 995, amount: 300, owner: Xcrystalx	
[4/19/23 01:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xcrystalx	
[4/19/23 01:26PM] Player picked up item: Coin, id: 995, amount: 300, owner: Xcrystalx	
[4/19/23 01:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xcrystalx	
[4/19/23 01:26PM] Player picked up item: Coin, id: 995, amount: 300, owner: Xcrystalx	
[4/19/23 01:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Coin, id: 995, amount: 600, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Coin, id: 995, amount: 600, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Xcrystalx	
[4/19/23 01:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xcrystalx	
[4/19/23 01:28PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Xcrystalx	
[4/19/23 01:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Xcrystalx	
[4/19/23 01:28PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Coin, id: 995, amount: 900, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Coin, id: 995, amount: 600, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Coin, id: 995, amount: 600, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Coin, id: 995, amount: 600, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Coin, id: 995, amount: 600, owner: Xcrystalx	
[4/19/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Xcrystalx	
[4/19/23 01:42PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Xcrystalx	
[4/19/23 01:42PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Xcrystalx	
[4/19/23 01:42PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Xcrystalx	
[4/19/23 01:42PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Xcrystalx	
[4/19/23 01:42PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Xcrystalx	
[4/19/23 01:43PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Xcrystalx	
[4/19/23 01:43PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Xcrystalx	
[4/19/23 01:45PM] Player picked up item: Coin, id: 995, amount: 2070677, owner: Xcrystalx	
[4/19/23 01:45PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Xcrystalx	
[4/19/23 01:51PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Xcrystalx	
[4/19/23 02:00PM] Player picked up item: Coin, id: 995, amount: 600, owner: Xcrystalx	
[4/19/23 02:15PM] Player picked up item: Coin, id: 995, amount: 2400650, owner: Xcrystalx	
[4/19/23 02:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Xcrystalx	
[4/19/23 02:26PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:26PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:26PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:26PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:26PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:26PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:27PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:27PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:27PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:27PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:27PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:27PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:27PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Xcrystalx	
[4/19/23 02:29PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Xcrystalx	
[4/19/23 02:29PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Xcrystalx	
[4/19/23 02:35PM] Player picked up item: Nagi Amulet, id: 21068, amount: 1, owner: Xcrystalx	
[4/19/23 02:40PM] Player picked up item: Doom Legs, id: 15933, amount: 1, owner: Xcrystalx	
[4/19/23 02:40PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Xcrystalx	
[4/19/23 02:40PM] Player picked up item: Coin, id: 995, amount: 36000, owner: Xcrystalx	
[4/19/23 02:40PM] Player picked up item: Coin, id: 995, amount: 60000, owner: Xcrystalx	
[4/19/23 02:40PM] Player picked up item: Coin, id: 995, amount: 24000, owner: Xcrystalx	
[4/19/23 02:41PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Xcrystalx	
[4/19/23 02:41PM] Player picked up item: Coin, id: 995, amount: 24000, owner: Xcrystalx	
[4/19/23 02:41PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Xcrystalx	
[4/19/23 02:41PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Xcrystalx	
[4/19/23 02:41PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Xcrystalx	
[4/19/23 02:45PM] Player picked up item: Coin, id: 995, amount: 1904393, owner: Xcrystalx	
[4/19/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Xcrystalx	
[4/19/23 02:47PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Xcrystalx	
[4/19/23 02:47PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Xcrystalx	
[4/19/23 02:47PM] Player picked up item: Coin, id: 995, amount: 24000, owner: Xcrystalx	
[4/19/23 02:48PM] Player picked up item: Coin, id: 995, amount: 16000, owner: Xcrystalx	
[4/19/23 02:48PM] Player picked up item: Coin, id: 995, amount: 32000, owner: Xcrystalx	
[4/19/23 02:49PM] Player picked up item: Coin, id: 995, amount: 24000, owner: Xcrystalx	
[4/19/23 02:49PM] Player picked up item: Coin, id: 995, amount: 24000, owner: Xcrystalx	
[4/19/23 02:50PM] Player picked up item: Coin, id: 995, amount: 16000, owner: Xcrystalx	
[4/19/23 02:52PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Xcrystalx	
[4/19/23 02:52PM] Player picked up item: Coin, id: 995, amount: 24000, owner: Xcrystalx	
[4/19/23 02:54PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Xcrystalx	
[4/19/23 02:54PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Xcrystalx	
[4/19/23 02:54PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Xcrystalx	
[4/19/23 02:54PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Xcrystalx	
[4/19/23 02:55PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Xcrystalx	
[4/19/23 02:55PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Xcrystalx	
[4/19/23 02:55PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Xcrystalx	
[4/19/23 02:55PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Xcrystalx	
[4/19/23 02:55PM] Player picked up item: Coin, id: 995, amount: 9000, owner: Xcrystalx	
[4/19/23 02:55PM] Player picked up item: Aberrant Gloves, id: 11140, amount: 1, owner: Xcrystalx	
[4/19/23 02:55PM] Player picked up item: Aberrant Gloves, id: 11140, amount: 1, owner: Xcrystalx	
[4/19/23 03:02PM] Player picked up item: Coin, id: 995, amount: 36000, owner: Xcrystalx	
[4/19/23 03:02PM] Player picked up item: Coin, id: 995, amount: 48000, owner: Xcrystalx	
