[4/15/23 08:28AM] Received item from Walkchaos. Name: Progressive Box [T2]. Id: 10029, amount: 1	
[4/15/23 03:56PM] Gave item to Uhthred. Name: Owner's Gloves. Id: 22236, amount: 1	
[4/15/23 03:56PM] Received item from Uhthred. Name: Owner's Legs. Id: 22234, amount: 1	
[4/15/23 04:54PM] Gave item to Zaryte. Name: Lava bones. Id: 2023, amount: 1000	
[4/15/23 04:55PM] Gave item to Nervus. Name: Lava bones. Id: 2023, amount: 1000	
[4/15/23 04:55PM] Gave item to Wet. Name: Lava bones. Id: 2023, amount: 1000	
[4/15/23 04:56PM] Gave item to Onlyfans. Name: Lava bones. Id: 2023, amount: 1000	
[4/15/23 04:58PM] Gave item to Lugia. Name: Lava bones. Id: 2023, amount: 1000	
[4/15/23 05:07PM] Gave item to Aaron. Name: Collector necklace. Id: 19886, amount: 1	
[4/15/23 05:12PM] Gave item to Onlyfans. Name: Collector necklace. Id: 19886, amount: 1	
[4/15/23 05:12PM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 29755	
[4/15/23 05:12PM] Received item from Onlyfans. Name: Vote scroll. Id: 23020, amount: 5	
[4/15/23 05:27PM] Gave item to Alex. Name: Owner's cape. Id: 7995, amount: 1	
[4/15/23 10:11PM] Gave item to Reaperboi. Name: Rogue Sword. Id: 22127, amount: 1	
[4/15/23 10:14PM] Gave item to Reaperboi. Name: Collector necklace. Id: 19886, amount: 1	
[4/15/23 11:32PM] Gave item to Ruthie. Name: Collector necklace. Id: 19886, amount: 1	
[4/15/23 11:55PM] Gave item to Gpello. Name: Sinful Hat. Id: 14733, amount: 1	
[4/15/23 11:55PM] Gave item to Gpello. Name: Forsaken Body. Id: 14911, amount: 1	
[4/15/23 11:55PM] Gave item to Ruthie. Name: Forsaken Body. Id: 14911, amount: 1	
[4/15/23 11:55PM] Gave item to Ruthie. Name: Sinful Hat. Id: 14733, amount: 1	
