[4/17/23 08:29AM] Gave item to Immortal. Name: Vote scroll. Id: 23020, amount: 7	
[4/17/23 08:29AM] Received item from Immortal. Name: Tarn token. Id: 10835, amount: 70000	
[4/17/23 08:42AM] Received item from Like My Peep. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/17/23 09:27AM] Gave item to Like My Peep. Name: $10 Bond. Id: 23057, amount: 10	
[4/17/23 09:27AM] Received item from Like My Peep. Name: Tarn token. Id: 10835, amount: 3000000	
[4/17/23 09:38AM] Gave item to Ao. Name: $10 Bond. Id: 23057, amount: 249999824	
[4/17/23 09:38AM] Gave item to Ao. Name: Zircon (Ranger). Id: 23093, amount: 1	
[4/17/23 09:38AM] Gave item to Ao. Name: Agumon Bow. Id: 22155, amount: 1	
[4/17/23 09:38AM] Gave item to Ao. Name: Collectors Aura I. Id: 15450, amount: 1	
[4/17/23 09:38AM] Gave item to Ao. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/17/23 09:38AM] Gave item to Ao. Name: Obsidian Aura. Id: 12612, amount: 1	
[4/17/23 10:54AM] Received item from Fpk Merk. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 11:02AM] Gave item to Xtra25. Name: Imperial legs. Id: 20088, amount: 1	
[4/17/23 11:02AM] Gave item to Xtra25. Name: Imperial helm. Id: 20086, amount: 1	
[4/17/23 11:02AM] Gave item to Xtra25. Name: Imperial boots. Id: 20089, amount: 1	
[4/17/23 11:02AM] Gave item to Xtra25. Name: Imperial gloves. Id: 20091, amount: 1	
[4/17/23 11:02AM] Gave item to Xtra25. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/17/23 11:02AM] Gave item to Xtra25. Name: Imperial body. Id: 20087, amount: 1	
[4/17/23 11:02AM] Gave item to Xtra25. Name: Imperial ring. Id: 20093, amount: 1	
[4/17/23 11:02AM] Gave item to Xtra25. Name: Imperial amulet. Id: 20092, amount: 1	
[4/17/23 01:17PM] Gave item to Jroc. Name: Tarn token. Id: 10835, amount: 400000	
[4/17/23 01:17PM] Gave item to Jroc. Name: Vote scroll. Id: 23020, amount: 5	
[4/17/23 01:17PM] Received item from Jroc. Name: Blood Vitur. Id: 8136, amount: 1	
[4/19/23 06:59AM] Received item from Onlyfans. Name: Antique Bow. Id: 23144, amount: 1	
[4/19/23 08:46AM] Gave item to Xtra25. Name: Gold Gloves. Id: 11181, amount: 1	
[4/19/23 08:46AM] Gave item to Xtra25. Name: Blood Vitur. Id: 8136, amount: 1	
[4/19/23 08:46AM] Gave item to Xtra25. Name: Titan Chaps. Id: 8805, amount: 1	
[4/19/23 08:46AM] Gave item to Xtra25. Name: Zinq shield. Id: 23056, amount: 1	
[4/19/23 08:46AM] Gave item to Xtra25. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 08:50AM] Received item from Xtra25. Name: Tarn token. Id: 10835, amount: 400000	
[4/20/23 07:14AM] Gave item to Onlyfans. Name: Antique Bow. Id: 23144, amount: 1	
[4/20/23 07:16AM] Gave item to Onlyfans. Name: Owner's Body. Id: 22233, amount: 1	
[4/20/23 07:16AM] Received item from Onlyfans. Name: Fazula Gloves. Id: 4070, amount: 1	
[4/20/23 07:16AM] Received item from Onlyfans. Name: Fazula Legs. Id: 4068, amount: 1	
[4/20/23 07:16AM] Received item from Onlyfans. Name: Fazula Staff. Id: 4071, amount: 1	
[4/20/23 07:16AM] Received item from Onlyfans. Name: Goku Head. Id: 13323, amount: 1	
[4/20/23 07:16AM] Received item from Onlyfans. Name: Yasuda Body. Id: 4077, amount: 1	
[4/20/23 11:00AM] Gave item to Ruthie. Name: Tarn token. Id: 10835, amount: 350000	
[4/20/23 11:00AM] Received item from Ruthie. Name: Vote scroll. Id: 23020, amount: 10	
[4/20/23 11:47AM] Gave item to Entropy. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 12:28PM] Gave item to Daddyhoho16. Name: Tarn token. Id: 10835, amount: 700000	
[4/20/23 12:28PM] Received item from Daddyhoho16. Name: $10 Bond. Id: 23057, amount: 2	
[4/20/23 12:34PM] Received item from Entropy. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 07:39AM] Gave item to Asoich. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 07:39AM] Received item from Asoich. Name: Tarn token. Id: 10835, amount: 10449373	
[4/21/23 08:03AM] Gave item to Ashwsonov. Name: Tarn token. Id: 10835, amount: 2750000	
[4/21/23 08:03AM] Received item from Ashwsonov. Name: $25 Bond. Id: 23058, amount: 2	
[4/21/23 08:05AM] Gave item to Draculaura. Name: Tarn token. Id: 10835, amount: 265000	
[4/21/23 08:05AM] Received item from Draculaura. Name: $1 Scroll. Id: 10946, amount: 5	
[4/21/23 08:14AM] Gave item to Dwightshrute. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/21/23 08:14AM] Received item from Dwightshrute. Name: Tarn token. Id: 10835, amount: 2000000	
[4/21/23 09:06AM] Gave item to Bourgondier. Name: Lili Body. Id: 22137, amount: 1	
[4/21/23 09:06AM] Received item from Bourgondier. Name: Tarn token. Id: 10835, amount: 223039	
[4/21/23 09:06AM] Received item from Bourgondier. Name: $1 Scroll. Id: 10946, amount: 3	
[4/21/23 09:06AM] Received item from Bourgondier. Name: Vote scroll. Id: 23020, amount: 3	
[4/21/23 09:06AM] Received item from Bourgondier. Name: Agumon Legs. Id: 22154, amount: 1	
[4/21/23 09:38AM] Received item from Asoich. Name: Trinity prayer scroll. Id: 23166, amount: 1	
[4/21/23 10:08AM] Received item from Like My Peep. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/21/23 10:26AM] Gave item to Icy. Name: Trinity prayer scroll. Id: 23166, amount: 1	
[4/21/23 10:26AM] Received item from Icy. Name: Tarn token. Id: 10835, amount: 3000000	
[4/21/23 10:41AM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 1000266	
[4/21/23 10:41AM] Received item from Onlyfans. Name: Aura (T6). Id: 23049, amount: 1	
[4/21/23 10:54AM] Received item from Zshana. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/21/23 11:59AM] Gave item to Asoich. Name: Tyrant Aura. Id: 12608, amount: 1	
[4/21/23 12:00PM] Gave item to Asoich. Name: Rune platebody (h5). Id: 19495, amount: 1	
[4/21/23 12:00PM] Received item from Asoich. Name: Tarn token. Id: 10835, amount: 4000060	
[4/21/23 12:25PM] Gave item to Raynes 911. Name: Tarn token. Id: 10835, amount: 360000	
[4/21/23 12:25PM] Received item from Raynes 911. Name: Vote scroll. Id: 23020, amount: 12	
[4/21/23 12:27PM] Gave item to Just Kirbs. Name: Tarn token. Id: 10835, amount: 1260000	
[4/21/23 12:27PM] Received item from Just Kirbs. Name: Vote scroll. Id: 23020, amount: 42	
[4/21/23 12:28PM] Received item from Asoich. Name: Vote scroll. Id: 23020, amount: 36	
[4/21/23 12:46PM] Gave item to Niels. Name: Owner's Halo. Id: 22239, amount: 1	
[4/21/23 12:46PM] Received item from Niels. Name: Owner's Aura. Id: 22238, amount: 1	
[4/21/23 01:02PM] Gave item to Asoich. Name: Fazula Legs. Id: 4068, amount: 1	
[4/21/23 01:02PM] Received item from Asoich. Name: Tarn token. Id: 10835, amount: 1494823	
[4/21/23 01:09PM] Gave item to Bright. Name: Tarn token. Id: 10835, amount: 4000000	
[4/21/23 01:09PM] Received item from Bright. Name: Sovereignty prayer scroll. Id: 23169, amount: 1	
[4/21/23 01:28PM] Gave item to L I T S. Name: Tarn token. Id: 10835, amount: 1000000	
[4/21/23 01:28PM] Received item from L I T S. Name: $1 Scroll. Id: 10946, amount: 25	
[4/21/23 10:21PM] Gave item to Entropy. Name: Groudon Staff. Id: 13640, amount: 1	
[4/21/23 10:21PM] Received item from Entropy. Name: Yasuda Boots. Id: 4083, amount: 1	
[4/21/23 10:21PM] Received item from Entropy. Name: Yasuda Wings. Id: 3470, amount: 1	
[4/21/23 10:21PM] Received item from Entropy. Name: Yasuda Gloves. Id: 4085, amount: 1	
[4/21/23 11:20PM] Gave item to Duke. Name: Groudon Staff. Id: 13640, amount: 1	
[4/21/23 11:20PM] Received item from Duke. Name: Tarn token. Id: 10835, amount: 16598982	
[4/21/23 11:20PM] Received item from Duke. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 11:20PM] Received item from Duke. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/21/23 11:58PM] Gave item to Gekyume. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/21/23 11:58PM] Received item from Gekyume. Name: Tarn token. Id: 10835, amount: 75000	
[4/22/23 12:42AM] Gave item to Rak. Name: Tarn token. Id: 10835, amount: 1800000	
[4/22/23 12:42AM] Received item from Rak. Name: $10 Bond. Id: 23057, amount: 1	
[4/22/23 12:42AM] Received item from Rak. Name: $25 Bond. Id: 23058, amount: 1	
[4/22/23 12:42AM] Received item from Rak. Name: $1 Scroll. Id: 10946, amount: 5	
[4/22/23 12:45AM] Gave item to Rak. Name: Tarn token. Id: 10835, amount: 2250000	
[4/22/23 12:45AM] Received item from Rak. Name: $25 Bond. Id: 23058, amount: 2	
[4/22/23 04:38AM] Gave item to Kenny. Name: Tarn token. Id: 10835, amount: 45000	
[4/22/23 04:38AM] Received item from Kenny. Name: $1 Scroll. Id: 10946, amount: 1	
[4/22/23 06:07AM] Gave item to Vetbrazil. Name: Tarn token. Id: 10835, amount: 1620000	
[4/22/23 06:07AM] Received item from Vetbrazil. Name: $10 Bond. Id: 23057, amount: 1	
[4/22/23 06:07AM] Received item from Vetbrazil. Name: $1 Scroll. Id: 10946, amount: 26	
[4/22/23 09:27AM] Gave item to Redx12. Name: Tarn token. Id: 10835, amount: 2552608	
[4/22/23 09:27AM] Received item from Redx12. Name: Prosperous prayer scroll. Id: 23170, amount: 1	
[4/22/23 09:36AM] Gave item to Xtra25. Name: Solar Hood. Id: 15645, amount: 1	
[4/22/23 09:58AM] Gave item to Rak. Name: Tarn token. Id: 10835, amount: 950000	
[4/22/23 09:58AM] Received item from Rak. Name: $1 Scroll. Id: 10946, amount: 19	
[4/22/23 10:10AM] Gave item to New Acc. Name: Tarn token. Id: 10835, amount: 1350000	
[4/22/23 10:10AM] Received item from New Acc. Name: $1 Scroll. Id: 10946, amount: 30	
[4/22/23 10:10AM] Gave item to Narutoeses. Name: Tarn token. Id: 10835, amount: 450000	
[4/22/23 10:10AM] Received item from Narutoeses. Name: $10 Bond. Id: 23057, amount: 1	
[4/22/23 11:09AM] Gave item to L I T S. Name: Tarn token. Id: 10835, amount: 1035000	
[4/22/23 11:09AM] Received item from L I T S. Name: $1 Scroll. Id: 10946, amount: 23	
[4/22/23 11:10AM] Gave item to Aspas. Name: Tarn token. Id: 10835, amount: 1035000	
[4/22/23 11:10AM] Received item from Aspas. Name: $1 Scroll. Id: 10946, amount: 23	
[4/22/23 11:11AM] Gave item to Rak. Name: Tarn token. Id: 10835, amount: 2745000	
[4/22/23 11:11AM] Received item from Rak. Name: $1 Scroll. Id: 10946, amount: 16	
[4/22/23 11:11AM] Received item from Rak. Name: $10 Bond. Id: 23057, amount: 2	
[4/22/23 11:11AM] Received item from Rak. Name: $25 Bond. Id: 23058, amount: 1	
[4/22/23 11:46AM] Gave item to Aurimas. Name: Groudon Staff. Id: 13640, amount: 1	
[4/22/23 11:46AM] Received item from Aurimas. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/22/23 12:17PM] Gave item to Rak. Name: Tarn token. Id: 10835, amount: 2205000	
[4/22/23 12:17PM] Received item from Rak. Name: $10 Bond. Id: 23057, amount: 2	
[4/22/23 12:17PM] Received item from Rak. Name: $1 Scroll. Id: 10946, amount: 29	
[4/22/23 12:24PM] Gave item to Suh. Name: Godly Bow. Id: 21018, amount: 1	
[4/22/23 12:24PM] Received item from Suh. Name: Tarn token. Id: 10835, amount: 45000000	
[4/22/23 12:42PM] Gave item to Zshana. Name: Tarn token. Id: 10835, amount: 32400000	
[4/22/23 12:42PM] Received item from Zshana. Name: $10 Bond. Id: 23057, amount: 6	
[4/22/23 12:42PM] Received item from Zshana. Name: $25 Bond. Id: 23058, amount: 11	
[4/22/23 12:42PM] Received item from Zshana. Name: $1 Scroll. Id: 10946, amount: 385	
[4/22/23 01:00PM] Gave item to Ashwsonov. Name: Tarn token. Id: 10835, amount: 3100000	
[4/22/23 01:00PM] Received item from Ashwsonov. Name: $1 Scroll. Id: 10946, amount: 21	
[4/22/23 01:00PM] Received item from Ashwsonov. Name: $25 Bond. Id: 23058, amount: 2	
[4/22/23 01:07PM] Gave item to L I T S. Name: Tarn token. Id: 10835, amount: 900000	
[4/22/23 01:07PM] Received item from L I T S. Name: $1 Scroll. Id: 10946, amount: 18	
[4/22/23 01:10PM] Gave item to Buff. Name: Tarn token. Id: 10835, amount: 1000000	
[4/22/23 01:10PM] Received item from Buff. Name: $10 Bond. Id: 23057, amount: 2	
[4/22/23 01:36PM] Gave item to Xtra25. Name: Tarn token. Id: 10835, amount: 1000000	
[4/22/23 01:36PM] Received item from Xtra25. Name: $10 Bond. Id: 23057, amount: 1	
[4/22/23 01:36PM] Received item from Xtra25. Name: $1 Scroll. Id: 10946, amount: 10	
[4/22/23 11:52PM] Gave item to K8. Name: Scylla Legs. Id: 14371, amount: 1	
[4/22/23 11:52PM] Received item from K8. Name: Tarn token. Id: 10835, amount: 721426	
[4/22/23 11:52PM] Received item from K8. Name: Vote scroll. Id: 23020, amount: 9	
[4/23/23 01:45AM] Gave item to Nobledefeat. Name: Tarn token. Id: 10835, amount: 3000000	
[4/23/23 01:45AM] Received item from Nobledefeat. Name: Rune spear (p++). Id: 13775, amount: 1	
[4/23/23 02:10AM] Gave item to Lungs. Name: Groudon Body. Id: 19918, amount: 1	
[4/23/23 02:10AM] Gave item to Lungs. Name: Groudon Boots. Id: 3107, amount: 1	
[4/23/23 02:10AM] Gave item to Lungs. Name: Groudon Legs. Id: 19913, amount: 1	
[4/23/23 02:10AM] Gave item to Lungs. Name: Groudon Shield. Id: 13964, amount: 1	
[4/23/23 02:10AM] Gave item to Lungs. Name: Groudon Helm. Id: 21934, amount: 1	
[4/23/23 02:10AM] Gave item to Lungs. Name: Groudon Aura. Id: 15448, amount: 1	
[4/23/23 02:10AM] Gave item to Lungs. Name: Groudon Shield. Id: 13964, amount: 1	
[4/23/23 02:10AM] Gave item to Lungs. Name: Groudon Boots. Id: 3107, amount: 1	
[4/23/23 02:10AM] Gave item to Lungs. Name: Groudon Staff. Id: 13640, amount: 1	
[4/23/23 05:43AM] Received item from Asoich. Name: Tarn token. Id: 10835, amount: 10000000	
[4/23/23 07:50AM] Gave item to Xtc. Name: Tarn token. Id: 10835, amount: 5000000	
[4/23/23 07:50AM] Received item from Xtc. Name: Fazula Book. Id: 4072, amount: 1	
[4/23/23 08:09AM] Gave item to Muffin. Name: Tarn token. Id: 10835, amount: 2000000	
[4/23/23 08:09AM] Received item from Muffin. Name: Warlock prayer scroll. Id: 23167, amount: 1	
[4/23/23 09:28AM] Gave item to Alakazam. Name: Scylla Pet. Id: 20588, amount: 1	
[4/23/23 09:28AM] Received item from Alakazam. Name: Tarn token. Id: 10835, amount: 800139	
[4/23/23 10:23AM] Gave item to Life. Name: Tarn token. Id: 10835, amount: 800000	
[4/23/23 10:23AM] Received item from Life. Name: $1 Scroll. Id: 10946, amount: 10	
[4/23/23 10:23AM] Received item from Life. Name: Vote scroll. Id: 23020, amount: 8	
[4/23/23 11:15AM] Gave item to Dup. Name: Tarn token. Id: 10835, amount: 2700000	
[4/23/23 11:15AM] Received item from Dup. Name: $1 Scroll. Id: 10946, amount: 45	
[4/23/23 12:16PM] Gave item to 666 Coins. Name: Goku Gloves. Id: 13326, amount: 1	
[4/23/23 12:16PM] Received item from 666 Coins. Name: Tarn token. Id: 10835, amount: 1182327	
[4/23/23 12:16PM] Gave item to Duke. Name: Fazula Staff. Id: 4071, amount: 1	
[4/23/23 12:16PM] Received item from Duke. Name: Tarn token. Id: 10835, amount: 6000000	
[4/23/23 12:16PM] Received item from Duke. Name: Vote scroll. Id: 23020, amount: 33	
[4/23/23 12:56PM] Gave item to Rhiannon. Name: Fazula Pet. Id: 4073, amount: 1	
[4/23/23 12:56PM] Received item from Rhiannon. Name: Lilinryss Pet. Id: 19489, amount: 1	
[4/23/23 12:56PM] Received item from Rhiannon. Name: Tarn token. Id: 10835, amount: 4250795	
[4/24/23 07:58AM] Gave item to Nobledefeat. Name: Tarn token. Id: 10835, amount: 25000000	
