[4/15/23 04:56PM] Received item from Like My Peep. Name: Lava bones. Id: 2023, amount: 1000	
[4/15/23 05:12PM] Gave item to Like My Peep. Name: Tarn token. Id: 10835, amount: 29755	
[4/15/23 05:12PM] Gave item to Like My Peep. Name: Vote scroll. Id: 23020, amount: 5	
[4/15/23 05:12PM] Received item from Like My Peep. Name: Collector necklace. Id: 19886, amount: 1	
[4/15/23 06:06PM] Received item from Onlyfans1. Name: Fury shark. Id: 17818, amount: 100	
[4/15/23 06:06PM] Received item from Onlyfans1. Name: Tarn token. Id: 10835, amount: 999	
[4/15/23 06:06PM] Received item from Onlyfans1. Name: PvM Casket. Id: 2736, amount: 5	
[4/15/23 06:06PM] Received item from Onlyfans1. Name: Lava bones. Id: 2023, amount: 150	
[4/15/23 06:06PM] Received item from Onlyfans1. Name: DMG Potion (Godly). Id: 3092, amount: 1	
[4/15/23 06:06PM] Received item from Onlyfans1. Name: DR Potion (Divine). Id: 3088, amount: 1	
[4/15/23 06:06PM] Received item from Onlyfans1. Name: AFK ticket. Id: 5020, amount: 87390	
[4/16/23 11:34AM] Gave item to Bryce. Name: Tarn token. Id: 10835, amount: 90000	
[4/16/23 11:34AM] Received item from Bryce. Name: Vote scroll. Id: 23020, amount: 5	
[4/16/23 02:55PM] Gave item to Zshana. Name: Aura (T6). Id: 23049, amount: 1	
[4/16/23 02:55PM] Received item from Zshana. Name: Tarn token. Id: 10835, amount: 200000	
[4/16/23 03:21PM] Gave item to Like My Peep. Name: Marksman prayer scroll. Id: 23168, amount: 1	
[4/16/23 03:21PM] Received item from Like My Peep. Name: Tarn token. Id: 10835, amount: 750000	
[4/16/23 04:44PM] Gave item to Ceo Of Rng. Name: Tarn token. Id: 10835, amount: 30000	
[4/16/23 04:44PM] Received item from Ceo Of Rng. Name: Vote scroll. Id: 23020, amount: 2	
[4/16/23 05:04PM] Gave item to Pokker. Name: Tarn token. Id: 10835, amount: 60000	
[4/16/23 05:04PM] Received item from Pokker. Name: Vote scroll. Id: 23020, amount: 6	
[4/16/23 05:07PM] Gave item to Liam. Name: Tarn token. Id: 10835, amount: 56757	
[4/16/23 05:07PM] Received item from Liam. Name: Vote scroll. Id: 23020, amount: 6	
[4/16/23 05:08PM] Gave item to Liam. Name: Tarn token. Id: 10835, amount: 12000	
[4/16/23 05:08PM] Received item from Liam. Name: Vote scroll. Id: 23020, amount: 1	
[4/16/23 05:10PM] Gave item to Liam. Name: Tarn token. Id: 10835, amount: 30000	
[4/16/23 05:10PM] Received item from Liam. Name: Vote scroll. Id: 23020, amount: 2	
[4/16/23 07:28PM] Gave item to Amura. Name: Tarn token. Id: 10835, amount: 90000	
[4/16/23 07:28PM] Received item from Amura. Name: Vote scroll. Id: 23020, amount: 8	
[4/16/23 07:35PM] Gave item to Mommy Nami. Name: Tarn token. Id: 10835, amount: 30000	
[4/16/23 07:35PM] Received item from Mommy Nami. Name: Vote scroll. Id: 23020, amount: 2	
[4/16/23 07:45PM] Gave item to Arthas. Name: Doom Body. Id: 16021, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Mystic body. Id: 23022, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Mystic boots. Id: 23025, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Mystic helm. Id: 23021, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Imperial Whip. Id: 18750, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Antique Sword. Id: 23146, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Antique Bow. Id: 23144, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Sinful Staff. Id: 14377, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/16/23 07:51PM] Gave item to Okmante. Name: Antique Boots. Id: 8820, amount: 1	
[4/16/23 07:52PM] Gave item to Okmante. Name: Lava bones. Id: 2023, amount: 3000	
[4/16/23 07:58PM] Gave item to Sam. Name: Doom Aura. Id: 12614, amount: 1	
[4/16/23 08:27PM] Gave item to Nicolly. Name: Antique Staff. Id: 23145, amount: 1	
[4/16/23 08:27PM] Gave item to Nicolly. Name: Antique Sword. Id: 23146, amount: 1	
[4/16/23 08:47PM] Gave item to Immortal. Name: Tarn token. Id: 10835, amount: 174783	
[4/16/23 08:47PM] Received item from Immortal. Name: Saint Body. Id: 21029, amount: 1	
[4/17/23 05:51AM] Gave item to Onlyfans1. Name: Patience bow. Id: 23039, amount: 1	
[4/17/23 05:51AM] Gave item to Onlyfans1. Name: Patience gloves. Id: 23037, amount: 1	
[4/17/23 05:51AM] Gave item to Onlyfans1. Name: Aberrant Cape. Id: 4367, amount: 1	
[4/17/23 05:51AM] Gave item to Onlyfans1. Name: Patience boots. Id: 23038, amount: 1	
[4/17/23 05:51AM] Gave item to Onlyfans1. Name: Revenant Legs. Id: 18003, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Gave item to Onlyfans1. Name: Fury shark. Id: 17817, amount: 1	
[4/17/23 05:52AM] Received item from Onlyfans1. Name: AFK ticket. Id: 5020, amount: 292150	
[4/17/23 06:43AM] Received item from Onlyfans1. Name: Coin. Id: 995, amount: 13298179	
[4/17/23 06:43AM] Received item from Onlyfans1. Name: Tarn token. Id: 10835, amount: 3447	
[4/17/23 06:45AM] Received item from Onlyfans1. Name: Tarn token. Id: 10835, amount: 100000	
[4/17/23 06:46AM] Received item from Onlyfans1. Name: Patience gloves. Id: 23037, amount: 1	
[4/17/23 06:46AM] Received item from Onlyfans1. Name: Aberrant Cape. Id: 4367, amount: 1	
[4/17/23 06:46AM] Received item from Onlyfans1. Name: Revenant Legs. Id: 18003, amount: 1	
[4/17/23 06:46AM] Received item from Onlyfans1. Name: Patience bow. Id: 23039, amount: 1	
[4/17/23 06:46AM] Received item from Onlyfans1. Name: Patience boots. Id: 23038, amount: 1	
[4/17/23 06:46AM] Received item from Onlyfans1. Name: Starter Ring. Id: 23091, amount: 1	
[4/17/23 06:46AM] Received item from Onlyfans1. Name: Lava bones. Id: 2023, amount: 2245	
[4/17/23 06:47AM] Gave item to H3ntai. Name: Patience bow. Id: 23039, amount: 1	
[4/17/23 06:47AM] Gave item to H3ntai. Name: Patience gloves. Id: 23037, amount: 1	
[4/17/23 06:47AM] Gave item to H3ntai. Name: Patience boots. Id: 23038, amount: 1	
[4/17/23 06:47AM] Gave item to H3ntai. Name: Aberrant Cape. Id: 4367, amount: 1	
[4/17/23 06:47AM] Gave item to H3ntai. Name: Starter Ring. Id: 23091, amount: 1	
[4/17/23 06:47AM] Gave item to H3ntai. Name: Revenant Legs. Id: 18003, amount: 1	
[4/17/23 07:44AM] Received item from H3ntai. Name: Tarn token. Id: 10835, amount: 150025	
[4/17/23 07:44AM] Received item from H3ntai. Name: Coin. Id: 995, amount: 14670615	
[4/17/23 07:44AM] Gave item to H3ntai. Name: Lava bones. Id: 2023, amount: 10643	
[4/17/23 07:44AM] Gave item to H3ntai. Name: Vote scroll. Id: 23020, amount: 10	
[4/17/23 07:44AM] Received item from H3ntai. Name: $10 Bond. Id: 23057, amount: 1	
[4/17/23 07:44AM] Received item from H3ntai. Name: Coin. Id: 995, amount: 5000000	
[4/17/23 07:47AM] Gave item to David. Name: Antique Bow. Id: 23144, amount: 1	
[4/17/23 07:47AM] Received item from David. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/17/23 07:47AM] Received item from David. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/17/23 07:47AM] Received item from David. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/17/23 08:12AM] Gave item to Rasengan. Name: Tarn token. Id: 10835, amount: 20000	
[4/17/23 08:12AM] Received item from Rasengan. Name: Vote scroll. Id: 23020, amount: 2	
[4/17/23 08:13AM] Gave item to Kyle. Name: Tarn token. Id: 10835, amount: 50000	
[4/17/23 08:13AM] Received item from Kyle. Name: Vote scroll. Id: 23020, amount: 5	
[4/17/23 08:15AM] Gave item to H3ntai. Name: Vote scroll. Id: 23020, amount: 15	
[4/17/23 08:15AM] Received item from H3ntai. Name: Tarn token. Id: 10835, amount: 175000	
[4/17/23 08:15AM] Received item from H3ntai. Name: Coin. Id: 995, amount: 2458901	
[4/17/23 08:42AM] Gave item to Mr Code0. Name: Tarn token. Id: 10835, amount: 61892	
[4/17/23 08:42AM] Received item from Mr Code0. Name: Vote scroll. Id: 23020, amount: 4	
[4/17/23 08:43AM] Gave item to H3ntai. Name: Vote scroll. Id: 23020, amount: 4	
[4/17/23 08:43AM] Received item from H3ntai. Name: Coin. Id: 995, amount: 4352405	
[4/17/23 09:49AM] Received item from H3ntai. Name: Tarn token. Id: 10835, amount: 7518	
[4/17/23 09:50AM] Received item from H3ntai. Name: Tarn token. Id: 10835, amount: 100000	
[4/17/23 10:08AM] Gave item to Inherited. Name: Doom Aura. Id: 12614, amount: 1	
[4/17/23 10:55AM] Gave item to Fpk Merk. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/17/23 10:55AM] Received item from Fpk Merk. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 10:58AM] Gave item to Alakazam. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/17/23 11:13AM] Received item from Onlyfans1. Name: AFK ticket. Id: 5020, amount: 35920	
[4/17/23 11:34AM] Received item from Like My Peep. Name: Infinite prayer potion (T3). Id: 23123, amount: 1	
[4/17/23 11:38AM] Gave item to Inherited. Name: Tarn token. Id: 10835, amount: 50000	
[4/17/23 11:38AM] Received item from Inherited. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/17/23 11:38AM] Received item from Inherited. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/17/23 11:38AM] Received item from Inherited. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/17/23 12:01PM] Gave item to Alakazam. Name: Aura (T6). Id: 23049, amount: 1	
[4/17/23 12:01PM] Received item from Alakazam. Name: Tarn token. Id: 10835, amount: 200000	
[4/17/23 12:01PM] Gave item to L I T S. Name: Aura (T6). Id: 23049, amount: 1	
