[4/22/23 05:29AM] Gave item to Author. Name: Owner's Body. Id: 22233, amount: 1	
[4/22/23 05:29AM] Received item from Author. Name: Owner's Gloves. Id: 22236, amount: 1	
[4/22/23 05:29AM] Received item from Author. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/22/23 05:29AM] Received item from Author. Name: Emerald Coif. Id: 11001, amount: 1	
[4/22/23 06:20AM] Gave item to Onlyfans. Name: Owner's Gloves. Id: 22236, amount: 1	
[4/22/23 06:20AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 20000000	
[4/22/23 06:20AM] Received item from Onlyfans. Name: Yasuda Gloves. Id: 4085, amount: 1	
[4/22/23 06:20AM] Received item from Onlyfans. Name: $25 Bond. Id: 23058, amount: 2	
[4/22/23 06:20AM] Received item from Onlyfans. Name: $10 Bond. Id: 23057, amount: 5	
[4/22/23 06:20AM] Received item from Onlyfans. Name: Obsidian Crossbow. Id: 23066, amount: 1	
[4/22/23 06:20AM] Received item from Onlyfans. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 06:26AM] Gave item to Arab. Name: Owner's cape. Id: 7995, amount: 1	
[4/22/23 06:26AM] Received item from Arab. Name: Tarn token. Id: 10835, amount: 3500000	
[4/22/23 09:20AM] Gave item to Arab. Name: Owner's Wings. Id: 22237, amount: 1	
[4/22/23 09:20AM] Gave item to Arab. Name: Vote scroll. Id: 23020, amount: 9	
[4/22/23 09:20AM] Gave item to Arab. Name: $1 Scroll. Id: 10946, amount: 15	
[4/22/23 09:20AM] Gave item to Arab. Name: Gladiator Boots. Id: 15201, amount: 1	
[4/22/23 09:20AM] Gave item to Arab. Name: Gladiator Legs. Id: 15007, amount: 1	
[4/22/23 09:20AM] Received item from Arab. Name: Owner's Boots. Id: 22235, amount: 1	
[4/22/23 09:31AM] Gave item to Beastthao. Name: Tarn token. Id: 10835, amount: 400000	
[4/22/23 09:31AM] Gave item to Beastthao. Name: Blood Helm. Id: 8813, amount: 1	
[4/22/23 09:31AM] Received item from Beastthao. Name: Groudon Boots. Id: 3107, amount: 1	
[4/22/23 09:57AM] Gave item to Resi. Name: Tarn token. Id: 10835, amount: 1000895	
[4/22/23 09:57AM] Received item from Resi. Name: Miner gauntlets (steel). Id: 20588, amount: 1	
[4/22/23 11:18PM] Gave item to Suh. Name: Owner's Gloves. Id: 22236, amount: 1	
[4/22/23 11:18PM] Received item from Suh. Name: Godly Bow. Id: 21018, amount: 1	
[4/22/23 11:18PM] Received item from Suh. Name: Gladiator Body. Id: 15006, amount: 1	
[4/22/23 11:18PM] Received item from Suh. Name: Gladiator Body. Id: 15006, amount: 1	
[4/22/23 11:18PM] Received item from Suh. Name: Gladiator Body. Id: 15006, amount: 1	
[4/22/23 11:18PM] Received item from Suh. Name: Gladiator Body. Id: 15006, amount: 1	
[4/22/23 11:18PM] Received item from Suh. Name: Yasuda Head. Id: 4075, amount: 1	
[4/22/23 11:18PM] Received item from Suh. Name: Tarn token. Id: 10835, amount: 40000000	
